SM LB ID Data1 Data2 Group
"257_petrous_269_upper_jaw 269_2_L1 269_2_L1_fq 269_2_L1.fastq.gz 269_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"270_petrous_270_upper_jaw_314_lower_jaw 270_3_L1 270_3_L1_fq 270_3_L1.fastq.gz 270_3_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"271_petrous_271_upper_jaw_271_lower_jaw 271_1_L1 271_1_L1_fq 271_1_L1.fastq.gz 271_1_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"272_petrous_312_lower_jaw 272_2_B_L1 272_B_L1_fq 272_2_B_L1.fastq.gz 272_2_B_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"275_petrous_275_upper_jaw 275_1_L1 275_1_L1_fq 275_1_L1.fastq.gz 275_1_L1.R2.fastq.gz nonUDG_2,DS_index6_8,DS"
"275_petrous_275_upper_jaw 275_2_L1 275_2_L1_fq 275_2_L1.fastq.gz 275_2_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"276_petrous_276_upper_jaw 276_1_L1 276_1_L1_fq 276_1_L1.fastq.gz 276_1_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"276_petrous_276_upper_jaw 276_2_L1 276_2_L1_fq 276_2_L1.fastq.gz 276_2_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"277_petrous_277_upper_jaw 277_1_L1 277_1_L1_fq 277_1_L1.fastq.gz 277_1_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"277_petrous_277_upper_jaw 277_2_L1 277_2_L1_fq 277_2_L1.fastq.gz 277_2_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"258_upper_jaw_265_petrous_270_2_lower_jaw_tooth2 258_1_L1 258_1_L1_fq_deep 258_1_L1.fastq.gz 258_1_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"259_petrous 259_L1 259_L1_fq_deep 259_L1.fastq.gz 259_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"260_petrous_266_upper_jaw_267_lower_jaw 260_B_L1 260_B_L1_fq_deep 260_B_L1.fastq.gz 260_B_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"261_upper_jaw_261_lower_jaw 261_2_L1 261_2_L1_fq_deep 261_2_L1.fastq.gz 261_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"262_petrous_313_lower_jaw 262_L1 262_L1_fq_deep 262_L1.fastq.gz 262_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"263_lower_jaw_263_upper_jaw 263_3_L1 263_3_L1_fq_deep 263_3_L1.fastq.gz 263_3_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"264_petrous 264_L1 264_L1_fq_deep 264_L1.fastq.gz 264_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"258_upper_jaw_265_petrous_270_2_lower_jaw_tooth2 265_L1 265_L1_fq_deep 265_L1.fastq.gz 265_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"260_petrous_266_upper_jaw_267_lower_jaw 267_3_L1 267_3_L1_fq_deep 267_3_L1.fastq.gz 267_3_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"257_petrous_269_upper_jaw 269_2_L1 269_2_L1_fq_deep 269_2_L1.fastq.gz 269_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"258_upper_jaw_265_petrous_270_2_lower_jaw_tooth2 270_2_L1 270_2_L1_fq_deep 270_2_L1.fastq.gz 270_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"271_petrous_271_upper_jaw_271_lower_jaw 271_2_L1 271_2_L1_fq_deep 271_2_L1.fastq.gz 271_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"272_petrous_312_lower_jaw 272_2_B_L1 272_2_B_L1_fq_deep 272_2_B_L1.fastq.gz 272_2_B_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"273_petrous_273_lower_jaw 273_2_L1 273_2_L1_fq_deep 273_2_L1.fastq.gz 273_2_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"274_petrous_274_upper_jaw 274_1_L1 274_1_L1_fq_deep 274_1_L1.fastq.gz 274_1_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"275_petrous_275_upper_jaw 275_1_L1 275_1_L1_fq_deep 275_1_L1.fastq.gz 275_1_L1.R2.fastq.gz nonUDG_2,DS_index6_8,DS"
"276_petrous_276_upper_jaw 276_2_L1 276_2_L1_fq_deep 276_2_L1.fastq.gz 276_2_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"277_petrous_277_upper_jaw 277_2_L1 277_2_L1_fq_deep 277_2_L1.fastq.gz 277_2_L1.R2.fastq.gz nonUDG_2,DS_index6_7,DS"
"261_upper_jaw_261_lower_jaw 261_3_L1 261_3_L1_fq_deep 261_3_L1.fastq.gz 261_3_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"262_petrous_313_lower_jaw 262_L1 262_L1_fq_deep2 262_L1.fastq.gz 262_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"260_petrous_266_upper_jaw_267_lower_jaw 266_1_L1 266_1_L1_fq_deep 266_1_L1.fastq.gz 266_1_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"257_petrous_269_upper_jaw 269_2_L1 269_2_L1_fq_deep2 269_2_L1.fastq.gz 269_2_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"270_petrous_270_upper_jaw_314_lower_jaw 270_4_L1 270_4_L1_fq_deep 270_4_L1.fastq.gz 270_4_L1.R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"271_petrous_271_upper_jaw_271_lower_jaw 271_1_L1 271_1_L1_fq_deep 271_1_L1.fastq.gz 271_1_L1.R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"268_petrous_315_lower_jaw 268_A_lys3_L1 268_A_lys3_L1_fq 268_A_lys3_L1_1_R1.fastq.gz 268_A_lys3_L1_1_R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"268_petrous_315_lower_jaw 268_C_lys3_L1 268_C_lys3_L1_fq 268_C_lys3_L1_1_R1.fastq.gz 268_C_lys3_L1_1_R2.fastq.gz nonUDG_6,DS_index8_8,DS"
"272_petrous_312_lower_jaw 312_1_L1 312_1_L1_fq 312_1_L1_1_R1.fastq.gz 312_1_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"272_petrous_312_lower_jaw 312_2_L1 312_2_L1_fq 312_2_L1_1_R1.fastq.gz 312_2_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"262_petrous_313_lower_jaw 313_1_L1 313_1_L1_fq 313_1_L1_1_R1.fastq.gz 313_1_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"262_petrous_313_lower_jaw 313_2_L1 313_2_L1_fq 313_2_L1_1_R1.fastq.gz 313_2_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
